, Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,class
8482,79.171875,38.55335373,0.867274045,2.169522577,1.622909699,14.65355015,10.92712018,137.5152257,0
6819,128.7421875,51.4443337,0.016531052,-0.205170821,6.150501672,32.05827821,5.364287259,28.20836592,0
12075,93.0625,47.28433772,0.57422481,0.661852816,2.863712375,18.26479299,8.194469075,77.13566336,0
9422,88.4921875,50.20878224,0.659873834,0.370741182,3.251672241,17.51681578,7.422253806,68.57282104,0
1493,107.1484375,48.90761218,0.318516794,-0.128622645,1.051003344,9.778392704,17.76109587,405.8298591,0
5210,77.6796875,40.05268671,0.831761693,2.578330371,4.151337793,24.07141006,6.82881804,50.5864483,0
11065,119.84375,53.13344602,0.160184187,-0.312716464,6.41722408,29.92765532,5.101684031,26.09208022,0
7446,128.3125,50.64039118,0.101394834,-0.004324816,2.898829431,20.2250457,7.841429794,65.90923816,0
4761,150.3984375,50.07967712,-0.104309734,-0.270474784,3.513377926,25.06401146,7.792356039,62.44269267,0
271,82.7890625,40.26506945,0.740589489,1.871258295,1.757525084,13.74510196,10.70871092,142.0079002,0
10969,111.0859375,50.40756196,0.41456221,0.205453901,9.589464883,37.87341868,4.111660844,16.30241696,0
10303,128.1015625,50.70762391,-0.141260678,-0.333423449,3.447324415,20.89341644,7.993562878,72.23372825,0
10985,152.28125,52.44341258,-0.273670204,-0.366014608,1.137959866,14.75825931,14.65219939,225.0660033,0
11928,133.2109375,53.3573818,-0.111524822,-0.392228929,8.069397993,38.62318217,4.805242106,22.02576845,0
1783,117.359375,44.40205766,0.002822546,0.448794292,1.826086957,13.57944006,11.48735149,164.4442499,0
687,112.3359375,42.80484007,0.185585942,0.663276774,4.510869565,24.12067035,6.751104912,50.73784419,0
3533,120.0859375,52.18716727,0.002462141,-0.236774847,1.797658863,12.95570772,11.17948679,161.9203116,0
1280,110.09375,49.86018538,0.231684803,0.023331743,2.867056856,17.56549764,9.45823768,104.6663224,0
1648,144.5859375,46.37879488,-0.118616815,-0.13738477,2.147157191,19.54473687,9.665195056,95.80231242,0
11219,111.21875,44.39611074,0.325249755,0.4680619,2.381270903,14.42075974,9.397771773,115.8287741,0
5803,106.3828125,39.13919892,0.390253662,0.555046582,4.589464883,25.3311088,6.208261299,41.64469184,0
1329,145.7265625,43.28912877,-0.027376316,0.277704382,2.811036789,18.15207255,8.405952401,80.91351871,0
977,128.0703125,51.02330711,0.211048315,-0.160256946,3.065217391,18.76774329,7.556305261,65.82450939,0
174,114.203125,49.44589205,0.008293758,-0.141872468,2.486622074,15.34025422,9.228698148,109.2857195,0
9382,93.515625,37.71189807,0.350694226,1.5103959,1.969063545,14.78145858,9.597711523,112.5278594,0
3669,133.8984375,53.1149755,0.045854171,-0.368769008,4.155518395,26.32726046,6.932071107,49.49047361,0
10393,130.3046875,48.37848156,-0.230986401,-0.297219826,4.858695652,24.99185686,5.984103226,39.24830575,0
7120,145.8046875,53.6404492,-0.116512624,-0.547796532,4.239130435,21.40139574,6.93319555,56.01076352,0
3872,101.140625,45.04905909,0.145294949,0.353296171,61.2132107,86.81333833,0.728795439,-1.432832115,0
2302,90.4453125,43.91856964,0.887704461,1.392000315,2.066053512,12.49681504,10.426202,158.7573766,0
8143,94.4921875,38.05423681,1.038482473,2.892664104,4.929765886,28.35858096,6.495518695,44.13239918,0
11143,109.3671875,44.60326346,0.381444456,0.489801644,13.20986622,43.78915662,3.463896194,11.24478549,0
11639,130.765625,49.35481935,0.042855306,0.248692692,2.847826087,19.38744862,8.477871373,79.54451625,0
10549,100.2265625,45.63719269,0.484074582,0.430853403,3.511705686,21.30014909,7.382696553,59.32337706,0
80,95.2890625,47.04006808,0.411826466,0.50311606,4.890468227,23.73887085,6.239235941,44.17721975,0
2015,118.75,51.17616633,0.129630709,-0.286011017,5.738294314,30.86765208,5.865494906,35.21488292,0
12188,138.7109375,44.95416978,-0.055425561,0.394946284,1.072742475,11.37101106,14.26187926,252.1769738,0
4552,117.0703125,51.67993197,0.097780347,-0.19728994,1.744147157,17.30369374,11.14414124,131.3208933,0
2151,120.03125,52.6640202,0.138897748,-0.273868229,27.23411371,66.51294571,2.171200846,2.959039409,0
3518,106.9453125,47.05122019,0.153808139,0.336252131,3.510033445,21.53194095,7.337484128,57.89798113,0
537,111.109375,53.13106353,0.280252614,-0.222447285,3.011705686,20.35581968,7.585482124,62.38327022,0
2492,123.3046875,53.12640566,0.090780243,-0.672392146,39.32943144,78.42141436,1.599244065,0.755929414,0
7509,102.90625,44.75688451,0.448067156,0.209662169,2.302675585,15.24160034,9.844055818,121.7711391,0
2225,86.4375,44.84691844,0.75102619,1.238436022,1.939799331,15.79264852,11.07273871,138.5749942,0
5128,122.375,46.43308357,0.305910262,0.205228301,34.03929766,75.00778752,1.76230916,1.141399991,0
9921,109.328125,40.83428962,0.411973,0.860075813,1.734949833,15.44682807,10.93395786,135.7982181,0
9492,104.6875,48.73745832,0.135284593,-0.039274037,8.262541806,35.47538553,4.384297734,18.41028322,0
10824,127.5625,56.96102697,0.071034599,-0.63887063,2.892140468,16.31225113,8.702809573,97.62573391,0
5087,94.421875,35.51135588,0.499086302,2.150677443,3.075250836,15.88191235,7.330399266,73.82696615,0
11369,128.75,50.84550742,-0.09537627,0.020132088,4.483277592,28.00278691,6.299778338,38.99483589,0
9838,126.7421875,43.63131152,0.538022095,0.563326151,3.240802676,18.77731341,7.764659241,70.42335833,0
2018,133.703125,59.4081959,-0.043122941,-0.648617371,2.489966555,18.54383038,9.375479552,97.82009565,0
5226,115.4765625,52.09815928,0.178114813,-0.126893067,2.234949833,15.76178699,10.00420737,121.1246207,0
5452,104.1953125,51.45523822,0.097264527,-0.132725644,1.886287625,14.29966365,10.40964566,131.6906884,0
9952,120.0546875,46.82736056,0.061873925,0.135568917,4.58277592,25.20592125,6.703707924,48.1292988,0
1812,93.4921875,38.16411847,0.314204818,1.669431492,1.878762542,15.38702002,10.28166437,120.4196791,0
11466,123.875,56.12889741,0.022145822,-0.720544634,0.628762542,9.186709289,20.80439884,515.9031905,0
7252,125.3046875,48.35053622,-0.076568189,-0.359415022,2.970735786,15.40973218,7.500245047,78.67586054,0
4151,106.4140625,41.6676822,0.25332753,0.720641792,2.419732441,16.37502826,9.557450181,108.4581784,0
11603,138.765625,53.47231824,-0.143796643,-0.427600731,1.915551839,14.85927496,11.10402837,145.5760865,0
9448,112.953125,46.32575879,0.311345597,0.074030019,1.718227425,16.0106581,10.75575083,125.7474262,0
5816,130.3828125,51.44522589,0.099512815,-0.724336982,2.843645485,20.99095524,8.237226935,72.26463286,0
5500,102.5078125,58.88243001,0.465318154,-0.515087909,1.677257525,14.86014572,10.57648674,127.3935796,0
2477,124.6328125,54.18931962,0.001898719,-0.513267432,5.178093645,28.74872494,6.123285839,38.6617249,0
6157,136.78125,52.19972724,-0.298781876,-0.193123701,3.510033445,22.30821046,7.611175157,63.63028444,0
1700,114.0234375,47.17677276,0.097761319,-0.433236723,9.530100334,30.50286346,4.023316723,18.89538647,0
9370,109.9296875,49.63888087,0.190321101,-0.005248321,2.29180602,13.89614969,9.828740552,130.3776621,0
6520,88.3671875,49.21665608,0.956116291,1.374367647,1.773411371,13.82770214,10.70320113,143.8773783,0
9643,126.3671875,56.77984775,-0.079719202,-0.372772053,3.099498328,16.56509304,8.182831161,86.68429279,0
7110,110.2890625,41.71221201,0.383477714,1.257880018,3.513377926,19.12983246,7.126489704,62.06974815,0
6320,92.625,41.02609688,0.501778173,1.248359552,1.906354515,17.95026368,10.88870812,125.6053695,0
8423,147.40625,46.1462413,-0.561048728,0.53555212,2.950668896,17.15384084,8.361733344,86.42141027,0
2095,109.59375,40.27724961,0.200591322,0.508382275,6.484949833,30.49528075,5.227115874,28.09550632,0
12264,99.578125,47.16056506,0.463256681,0.418382193,2.253344482,17.08669211,8.461962652,80.08050801,0
11319,130.171875,44.34913143,0.248646786,0.414137747,3.803511706,26.22010681,7.294434699,53.79774129,0
3037,143.53125,40.47914924,-0.169462855,0.743007473,0.766722408,9.598978988,19.98797721,469.103876,0
3072,119.1875,53.35329623,0.249054524,-0.163376516,1.575250836,10.89084744,13.09389137,255.2734239,0
2662,119.5234375,44.19841005,0.026661843,0.35264129,1.828595318,12.67406768,11.15393876,166.5824391,0
7294,154.734375,51.75565856,-0.893169816,0.22849779,145.1220736,88.68452494,-0.51902152,-1.245349143,0
5747,126.296875,45.71692099,0.124646262,0.180689714,2.639632107,15.33907947,8.022532297,85.69548076,0
1497,99.390625,38.87283643,0.487044298,1.35293587,1.508361204,12.94143343,11.27690956,160.1012848,0
7494,103.3671875,48.70027449,0.324499145,0.025976092,2.097826087,13.99407287,10.33867385,136.9686355,0
8056,92.859375,45.21817499,0.701793872,1.171628854,1.308528428,11.00680669,13.88530203,260.5139526,0
2725,122.8984375,52.64160068,-0.125243256,-0.415331192,3.852842809,23.33377309,7.658855627,63.09284877,0
9178,103.4765625,46.15581031,0.310986416,0.614195367,1.91638796,14.45647483,10.3608764,129.6197965,0
2903,133.0234375,56.45967378,0.050622045,-0.675022961,2.314381271,14.16168558,9.423444727,117.8287105,0
10446,121.375,42.96964772,0.132747723,0.5776409,0.878762542,12.13419326,16.34060921,292.9766289,0
4643,137.328125,47.83322416,-0.163863234,-0.276708858,7.7090301,35.04703889,4.889746284,24.14596331,0
8331,115.71875,50.80291845,0.16712822,0.076632337,1.564381271,15.87866942,11.65492915,147.1723234,0
2536,136.5234375,41.63325084,-0.019038887,0.559212057,2.173913043,14.39550707,10.13780855,128.3246331,0
11480,130.265625,42.32398928,0.28816785,0.154343065,0.924749164,10.65345059,17.23772744,349.022186,0
6177,134.125,51.20104369,-0.009859571,-0.383320509,34.02926421,67.4916691,1.650286467,1.043175881,0
11221,104.640625,47.3632463,0.223983097,-0.270356701,38.88879599,76.33170117,1.560593254,0.651174286,0
10834,96.171875,34.86292564,0.532289921,2.627788119,2.905518395,21.31865897,8.229314863,72.38820072,0
2563,129.8671875,47.47209231,-0.125938944,-0.004480726,3.346989967,19.18587567,8.072626971,76.81087815,0
8364,111.7734375,42.2267345,0.391572067,0.504145809,1.74916388,11.59246487,12.16848442,211.637227,0
9433,113.921875,54.33369255,0.282513565,-0.400711329,1.91722408,15.25438709,10.53193777,132.4071607,0
7720,102.1796875,36.80277537,0.259479219,1.767631513,3.64632107,22.62644503,7.226092262,55.50869472,0
10119,90.953125,35.35840144,0.573568026,2.490775153,1.097826087,13.00249379,14.14008913,222.5007381,0
2852,110.484375,51.4559861,0.235416056,-0.216854964,2.434782609,14.59434516,9.38069941,115.4362863,0
379,103.765625,42.25304804,0.409956129,0.60943687,3.071070234,22.7326868,8.781005595,81.74825225,0
5764,105.6640625,59.24265215,0.354438286,-0.496044362,3.976588629,29.79309005,7.383828763,52.71915187,0
352,110.5703125,41.14222352,0.307207974,0.863544494,3.055183946,17.27933882,7.517765274,68.7982041,0
7397,121.2890625,50.42881002,-0.00469725,-0.388687247,1.837792642,16.18751252,10.16300888,113.978823,0
10029,122.4375,50.9489251,0.141865082,-0.30226579,2.897993311,14.67341108,8.332673652,98.18218601,0
8451,108.0390625,43.09553384,0.404479084,0.574946684,1.447324415,10.37449606,14.89484585,313.9159945,0
10014,116.4140625,51.14188709,0.059016108,-0.011105393,1.195652174,12.13249794,13.36774683,217.7259413,0
12280,119.9609375,54.13083143,-0.007230668,-0.551288359,1.769230769,12.60575026,11.64862912,179.5236467,0
9290,120.5,48.21792976,-0.017222526,-0.470013898,2.801003344,15.56609166,9.531433985,117.6570855,0
648,138.3046875,50.64498966,-0.155062298,0.011023106,1.606187291,17.1783268,11.29256537,130.7167621,0
9131,108.8046875,50.55706222,0.201270147,0.166819068,2.134615385,14.32258919,9.599129466,118.2982689,0
6567,112.578125,55.1858521,0.16457176,-0.18142891,2.658026756,20.75593023,8.94501917,85.07451393,0
11512,113.3359375,51.01964654,0.455303583,0.096454656,3.526755853,18.0985814,6.864838127,58.26052225,0
6205,139.625,53.75697629,-0.000556225,-0.531055836,19.51254181,47.94911611,2.339639119,4.274464019,0
10791,131.390625,51.4399277,0.126168902,-0.488254457,1.561036789,10.37976809,14.72323036,310.440503,0
6091,119.6328125,44.22348625,0.011523319,0.367501213,3.477424749,18.48972395,6.935181132,57.48697694,0
8365,119.328125,48.14222247,0.241992144,-0.015905671,18.48578595,44.44859831,2.15845898,3.457102178,0
589,129.3046875,45.00912383,0.179742697,0.344964304,1.91722408,16.12795837,10.21530112,115.8914785,0
3428,117.6875,45.12616861,0.117912018,0.298967026,1.581939799,14.63682332,11.34759446,144.8544548,0
11471,123.8515625,56.27417395,0.286117959,-0.480313373,1.183946488,14.84190747,13.76942019,200.0968465,0
10973,123.25,54.32972253,-0.035510797,-0.494210662,3.034280936,20.10939136,7.174848722,54.93152953,0
6215,87.84375,46.22050369,0.426329198,0.218424641,0.785117057,11.54016452,16.56076387,295.3902843,0
6013,140.9921875,52.42978878,-0.240785204,-0.487395509,0.968227425,9.341388136,19.03617062,469.5407905,0
7173,114.8671875,46.85589129,0.30707465,0.192871306,3.371237458,23.70059852,7.43842618,56.90349006,0
203,98.46875,40.45134761,0.314458878,0.886810107,1.683946488,13.0465635,13.48958878,227.4718075,0
4485,120.3828125,50.37687979,-0.174994802,-0.245833995,2.260033445,16.68551656,8.837183474,89.85041271,0
595,143.25,37.80645613,-0.229588505,1.237165118,4.9590301,27.47977354,6.151730833,39.52776428,0
2268,134.84375,53.4312405,-0.108108314,-0.661098806,2.62541806,17.58073083,8.198577554,79.42076656,0
4569,127.4375,39.36998976,0.22001907,1.01499677,3.524247492,20.89618984,8.12265596,73.70685509,0
9747,132.09375,50.66748796,0.045520545,-0.401729889,2.58361204,21.45495084,9.342845792,91.47822675,0
9714,118.8671875,50.59294836,0.602276224,0.197225951,1.816053512,13.68608684,10.50447717,137.743588,0
3837,121.5390625,47.3058371,0.161783509,0.332062397,2.830267559,15.86888545,8.642340519,98.51849787,0
9669,132.65625,56.26408678,-0.018941676,-0.556340062,2.413043478,15.70255386,8.959963573,96.9113397,0
11053,122.1015625,54.09017931,0.006562854,-0.533371047,1.852006689,14.67202207,11.68979902,160.1716122,0
5086,79.78125,42.31779647,0.659999745,1.252396558,2.399665552,13.87868363,9.412811757,122.0309004,0
4630,123.2265625,53.12164914,0.12106205,-0.386455451,2.640468227,15.56928096,9.275039137,111.3308171,0
11839,100.5625,41.37816264,0.452309039,1.028355549,2.085284281,13.66602668,10.15795723,134.746862,0
11541,119.65625,45.97833007,0.346986766,0.629663031,3.370401338,27.31543281,8.011788013,62.44816464,0
8604,104.3203125,42.60830567,0.251032809,0.618289425,1.605351171,14.40804442,11.45719707,153.7754456,0
12140,115.796875,41.37261311,0.078444812,0.388073848,1.967391304,13.28141912,9.935226299,135.5777579,0
11935,99.625,43.35644416,0.465581831,0.751944888,11.74665552,38.10569086,3.22138601,9.386968869,0
12416,121.8984375,47.98874214,0.165654823,-0.00818285,4.20819398,24.33564007,6.708815817,47.94079658,0
8586,123.515625,44.71174768,-0.091204187,0.038660468,3.940635452,19.61989948,7.139694703,62.63131662,0
7905,142.4140625,54.35926889,-0.233444703,-0.393528983,1.965719064,11.39205535,11.96927547,216.8112463,0
5268,108.40625,48.95668326,0.279514205,0.008017107,6.882107023,31.14770048,5.388371718,30.32381895,0
11095,130.6484375,53.0370728,-0.087245598,-0.422421244,1.669732441,13.98567543,12.5456677,183.6921599,0
11530,118.8828125,59.57802409,0.095876323,-0.702633542,3.195652174,23.17394991,8.038914835,67.44033055,0
6330,119.75,49.60437229,0.123172823,-0.053396182,3.719063545,21.18120588,7.151169863,57.42606041,0
9862,135.1484375,57.74203,0.097028348,-0.668818021,3.462374582,24.19947944,7.416904648,56.17987829,0
5300,125.140625,37.12894221,0.128696328,0.836795425,1.933110368,15.59882319,10.0714551,117.0664212,0
9616,116.0859375,44.32356656,0.178546798,0.581744175,0.939799331,11.73906898,15.23249089,263.0338221,0
2475,133.0390625,55.69720066,0.049424016,-0.360076258,14.16722408,47.01695556,3.266380372,9.352021999,0
5741,131.6328125,52.85236973,0.001195554,-0.240526462,3.77090301,18.5952584,7.149835304,63.87778606,0
6380,120.515625,55.54727496,0.075882252,-0.676333781,2.745819398,17.66174013,9.29847156,103.1805494,0
9870,120.8828125,51.85069025,-0.041628469,-0.290913068,10.31605351,38.12396752,3.907732567,15.02116119,0
3692,123.6015625,47.70749742,0.129553394,0.227238282,2.028428094,17.02700573,9.969430203,110.9831882,0
4383,103.921875,38.2754428,0.523624731,1.577230008,5.431438127,33.94040343,6.120137479,35.66721629,0
7073,126.78125,48.01154443,0.07208944,-0.164107179,3.094481605,21.20737558,8.078823984,71.12197491,0
11813,134.5234375,48.67943047,0.246387863,-0.181617361,3.154682274,17.12638403,7.721343959,75.70775208,0
8425,103.1484375,39.00602715,0.507142426,1.367814351,4.373745819,21.60406749,6.393055864,47.1625121,0
7848,123.8125,50.81718921,-0.262999815,-0.233517703,2.24916388,14.62941753,9.415317932,111.4956787,0
4733,85.3828125,35.32198348,0.518588842,2.863082488,2.445652174,16.59671834,8.817610836,91.59035679,0
2824,124.1328125,58.08673083,0.133981137,-0.611479841,13.909699,40.55893197,3.091894056,9.22379965,0
4046,104.3125,43.63050646,0.186498106,0.546011257,1.31270903,11.17835966,13.78019237,252.4173582,0
11104,130.6484375,47.06039833,0.095152872,0.15705666,2.017558528,12.54192405,11.05075359,169.200458,0
8384,98.984375,50.72551509,0.731464338,0.659186841,0.929765886,10.54374945,17.04165615,345.0708148,0
10999,94.78125,40.83770039,0.667646326,1.629132225,2.795150502,15.2961515,8.152504189,88.52777451,0
11013,68.8671875,31.27058599,1.60691877,8.278341954,3.68645485,22.72305675,7.40084055,60.06979639,0
7191,98.0078125,43.60520613,0.55060811,1.294496906,4.053511706,26.4210279,7.044363412,50.97685576,0
10061,118.921875,57.92487179,0.174064354,-0.716377707,1.726588629,12.20777462,11.30676785,178.4023936,0
9825,86.0390625,39.64853448,0.811157722,1.959578216,2.303511706,16.43159595,9.327166334,102.2156645,0
8412,122.921875,49.54347986,0.02400085,-0.464245617,1.071906355,14.60310523,15.09658864,237.3145092,0
6660,97.2890625,46.10215429,0.206480849,0.504963364,4.399665552,22.14294847,6.073693847,42.05752052,0
1105,126.2265625,57.31140468,0.039956498,-0.617176245,3.137123746,19.12753168,8.147171157,77.31170527,0
10664,91.5859375,48.14180345,0.755450337,1.101179508,2.08277592,15.68307582,9.960012367,115.4884861,0
2792,101.4375,40.8590852,0.467907143,0.573404013,2.631270903,18.55170823,8.946500521,90.88482912,0
477,136.78125,49.73522669,-0.095077382,-0.057091845,3.086120401,19.24646798,8.870310912,90.63353024,0
5779,109.90625,47.93166319,0.210408479,-0.086642921,2.421404682,15.90328241,8.808076008,94.70462277,0
8550,117.265625,50.14813749,0.233555962,0.119018293,19.48327759,55.80122289,2.686855975,5.657202428,0
9716,132.40625,48.65350024,-0.094764851,-0.09683921,2.670568562,14.86320579,8.148656237,91.54563427,0
