count_floors_pre_eq,age,area_percentage,height_percentage,land_surface_condition,foundation_type,roof_type,ground_floor_type,other_floor_type,position,plan_configuration,has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_brick,has_superstructure_cement_mortar_brick,has_superstructure_timber,has_superstructure_bamboo,has_superstructure_rc_non_engineered,has_superstructure_rc_engineered,has_superstructure_other,legal_ownership_status,count_families,has_secondary_use,has_secondary_use_agriculture,has_secondary_use_hotel,has_secondary_use_rental,has_secondary_use_institution,has_secondary_use_school,has_secondary_use_industry,has_secondary_use_health_post,has_secondary_use_gov_office,has_secondary_use_use_police,has_secondary_use_other,class
2,10,10,6,t,i,x,v,s,t,d,0,0,0,0,0,0,0,0,1,0,0,v,2,1,0,1,0,0,0,0,0,0,0,0,0
2,55,10,3,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,9,5,n,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,4,5,o,w,q,f,q,s,d,0,0,0,0,0,0,1,1,0,0,0,a,1,0,0,0,0,0,0,0,0,0,0,0,0
2,5,4,5,t,r,n,f,x,t,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,14,4,t,r,n,f,j,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,1,0,1,0,0,0,0,0,0,0,0,1
2,25,3,4,t,r,q,f,q,t,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
3,20,6,7,t,r,n,f,q,s,d,0,1,0,0,0,0,1,1,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
2,995,6,5,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,11,5,t,w,n,f,q,s,d,0,1,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,5,8,4,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
3,30,7,6,n,r,n,x,x,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,5,5,t,r,n,f,q,t,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
2,20,6,6,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,4,3,t,r,n,f,j,s,d,0,0,0,0,0,1,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
3,5,7,5,t,r,n,f,q,s,q,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
1,5,12,3,t,i,x,v,j,s,u,0,0,0,0,0,1,0,0,1,0,0,v,1,1,0,1,0,0,0,0,0,0,0,0,0
2,15,9,4,t,r,q,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
2,15,7,5,t,r,n,v,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
1,25,5,3,t,h,q,f,j,s,d,0,0,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,30,8,5,t,r,q,f,x,s,d,0,1,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,25,10,5,n,r,q,f,q,s,d,0,1,0,0,0,0,1,1,0,0,1,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,15,6,5,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,10,5,t,r,n,f,q,s,d,0,1,0,0,0,0,1,0,0,0,0,v,2,0,0,0,0,0,0,0,0,0,0,0,1
3,5,12,9,t,h,x,v,s,t,d,0,0,0,0,0,1,0,0,0,0,0,v,2,0,0,0,0,0,0,0,0,0,0,0,0
2,0,11,7,t,u,x,v,s,t,d,0,0,0,0,0,1,0,0,0,0,0,v,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,5,5,n,w,n,z,q,s,d,0,0,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,10,5,5,n,w,n,f,x,s,d,0,0,0,0,0,0,1,1,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
3,25,8,7,t,r,q,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
2,10,4,4,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10,13,3,t,u,x,v,j,s,d,0,0,0,0,0,1,0,0,0,0,0,v,0,0,0,0,0,0,0,0,0,0,0,0,0
2,15,13,6,t,u,x,v,s,s,d,0,0,0,0,0,1,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,9,5,n,i,x,v,s,s,d,0,0,0,0,0,0,0,0,1,0,0,v,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,11,3,t,i,x,v,j,s,d,0,0,0,0,0,0,0,0,1,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,25,20,5,n,r,n,f,q,s,d,0,1,0,0,0,0,1,1,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
2,15,11,5,t,r,n,v,q,j,d,0,1,0,0,0,0,0,0,0,0,0,v,1,1,0,0,0,0,0,0,0,0,0,1,1
1,35,10,4,t,r,q,f,j,s,d,0,1,0,0,0,0,0,0,0,0,0,v,0,0,0,0,0,0,0,0,0,0,0,0,1
2,25,5,5,t,r,q,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
2,20,7,6,t,r,n,f,q,s,d,0,1,1,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
1,5,18,3,t,i,x,x,j,s,d,0,0,0,0,0,0,0,0,1,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
1,15,2,2,t,r,n,f,j,s,d,0,0,0,0,0,0,1,0,0,0,0,a,1,0,0,0,0,0,0,0,0,0,0,0,0
2,20,7,4,t,r,n,f,q,s,d,0,1,0,0,0,0,1,0,0,0,0,v,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,17,8,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
2,10,20,7,n,i,x,v,s,s,d,0,0,0,0,0,0,0,0,1,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,6,6,t,w,n,f,q,s,d,0,1,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,9,8,t,u,n,v,x,s,d,0,0,0,0,1,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,10,11,5,t,r,n,f,q,s,d,1,0,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
2,25,6,5,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
3,10,15,8,t,i,x,v,s,j,d,0,0,0,0,0,0,0,0,0,1,0,v,1,1,0,0,1,0,0,0,0,0,0,0,0
2,20,5,5,t,r,n,f,x,s,q,1,1,1,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
2,5,21,5,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,2,0,0,0,0,0,0,0,0,0,0,0,1
2,25,7,5,t,r,q,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
1,5,4,3,t,r,n,f,j,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
3,35,11,7,t,r,n,f,q,s,d,0,1,0,0,0,1,0,0,1,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
3,15,8,10,t,r,n,f,x,t,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
1,50,5,3,t,r,n,f,j,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,20,7,5,t,r,n,f,q,s,q,1,0,0,0,1,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
2,30,7,7,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,13,3,t,r,n,v,j,s,d,0,0,0,0,0,1,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,15,13,5,t,r,q,x,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,1,1,0,0,0,0,0,0,0,0,0,1
2,15,5,6,n,r,n,f,x,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
6,0,5,18,t,i,x,v,s,s,d,0,0,0,0,0,0,0,0,1,0,0,v,0,1,0,0,1,0,0,0,0,0,0,0,0
1,45,6,3,t,r,n,f,j,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,40,5,5,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,7,5,n,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2,2,t,r,n,f,j,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,10,6,6,t,r,q,f,q,s,d,0,1,0,0,0,0,1,1,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
1,5,3,4,t,r,q,v,j,s,d,0,0,0,0,0,1,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,0
2,10,4,4,t,r,q,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
3,20,5,5,n,r,n,f,q,t,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
